A. JÚNIOR, JAIME
CAMARGO, NELSON JOSÉ DE
CAMARGO, PIERINA
CAMARGOS, MÁRCIA
CAMINHA, ADOLFO
CAMÕES, LUIS VAZ DE 
CAMPOS, KLEBER G.
CAMPOS, KLEBER ROBERTO DE
CAMPOS, MARIA CRISTINA DA CUNHA
CAMPOS, PAULO MENDES
CAMPOS, REGINA HELENA DE FREITAS
CAMPOS, TÂNIA MARIA MENDONÇA
CANAUNA, ILMA MARIA 
CANDAU, VERA MARIA
CANDIDO, ANTONIO
CANN, HELEN
CÂNTARA, SÉRGIO DE JESUS
CANTON, KATIA
CANTÚ, CESARE
CAPELATO, MARIA HELENA
CAPOZZI, ARIEL
CAPPARELLI, SÉRGIO
CAPUTO, RUTH ROZENDO
CARDOSO, LÚCIO
CARDOSO, LUIZ CLÁUDIO
CARNEIRO, ANGELA
CARNEIRO, MÁRIO DE SÁ
CARPANEDA, ISABELLA
CARPANEDA, ISABELLA
CARR, STELLA
CARRARO, ADELAIDE
CARRARO, FERNANDO
CARRASCO, WALCYR RODRIGUÊS
CARRASCOZA, JOÃO ANZANELLO
CARROL, LEWIS
CARRUTH, JANE
CARSON, BEM
CARUSO, CARLA
CARVALHO, ANDRÉ
CARVALHO, JOSÉ CANDIDO DE MELO
CARVALHO, JOSÉ MURILO DE
CARVALHO, JOSÉ SÉRGIO FONSECA
CARVALHO, MARCO ANTÔNIO
CARVALHO, MARLENE
CARVALHO, MARTA MARIA CHAGAS
CARVALHO, MIGUEL
CARVALHO, MIRIAN CRISTINA 
CARVALHO, NELSON MARCELLINO 
CARVALHO, REGINA
CASCUDO, LUÍS DA CÂMARA
CASH, TERRY 
CASTANHA, MARILDA
CASTELLANI FILHO, LINO
CASTELLO, J. ADERALDO
CASTRO, EDUARDO VIVEIROS
CASTRO, EUGÊNIO DE
CASTRO, JORGE VIVEIROS
CASTRO, MARIA DA GLÓRIA
CATALÃO, MARCO
CATE, CURTIS
CAULOS
CAVALCANTE, RODOLFO COELHO 
CAVALCANTI, LANA DE SOUZA
CAVICCHIOLO, GIANCARLA 
CAZARRÉ, LOURENÇO
CAZORLA, IRENE MAURICIO
CERQUEIRA, ESEM P.
CERQUEIRA, JONIR BECHARA
CERQUEIRA, RUI
CERVANTES, MIGUEL DE 
CHACON, THALÍA IGLESIAS
CHADLER, RAYMOND
CHALITA, GABRIEL
CHALLONER, JACK
CHAMBERLIN, E. R.
CHANDLER, RAYMOND
CHÂTELET, FRANÇOIS
CHAVES, JAQUELINE
CHEN, KETY
CHEUICHE, ALCY
CHIAPINNI, LIGIA
CHIARELLI, ADELÍDIA
CHIARINELLI, AGENOR
CHIAVENATO, JÚLIO JOSÉ
CHICONATO, CIDA
CHILD, LAUREN
CHILDRES, DAVID HATCHER
CHOMSKY, NOAM
CHRISTIE, AGATHA
CIANNI, SOLANGE DE AZEVADO
CIAVATTA,MARIA
CICERO, MARCO TÚLIO
CLAUDIUS
CLAVER, RONALD
CLEMENTE, MARTA
COAT, JANIK 
COELHO, DANIEL M.
COELHO, NELLY NOVAES
COELHO, PAULO
COELHO, ROGÉRIO
COELHO, RONALDO SIMÕES
COHEN, JEAN-LOUIS
COIMBRA, DAVID
COIMBRA, HEBE
COLASANTI, MARINA
COLBORN, T.
COLL, CÉSAR
COLLODI, CARLO
COLOMBO, CRISTOVÃO 
COMELATO, MAGALI BERGGREN 
CONCEIÇÃO,VANUZA BRAZ DA
CONRAD, JOSEPH
CONSOLO, VINCENZO
CONTE,VALDECIR ANTONIO
CONY, CARLOS HEITOR
CONZATTI, ODETE
COPPIN, BRIGITTE
CORÁ, ALESSANDRA
CORALINA, CORA
CORDÍE, ANNY
CORNELL, JOSEPH
CORREA, JAVIER CORREA
CORRÊA, LUCIANO
CORREIA, ALMIR
CORREIA, MARCOS MIRANDA
CORTÁZAR, JULIO
CÔRTES, GUSTAVO
CORTIZO, NEIDE
COSTA, FLÁVIO MOREIRA DA 
COSTA, MONICA RODRIGUES
COUTINHO, RICARDO
COUTO, JOSÉ GERALDO
COUTO, MIA
COUTO, RIBEIRO
COZENDEY, ANA CARLA
CRAIDY, CARMEM M. 
CRIPPA, MARIA ANTONIETTA
CROSHER, JUDITH
CRUZ, NAZARÉ
CRUZ, NELSON
CSÍSTO, CELSO
CUMMING, ROBERT
CUNHA, EUCLIDES DA 
CUNHA, JOSÉ AURI
CUNHA, JOSÉ AURI
CUNHA, LEO
CUNHA, MARCELO CARNEIRO DA
CUNHA, PAULO
CURRIE, KAREN
CURTO, ROSA M.
CURY, CARLOS ROBERTO JAMIL
DAEIR, ZILDA ABUJAMRA 
D'AGUIAR, CORDÉLIA DIAS
DAHL, ROALD
DALLA, JULIANA
D'AMBROSIO, OSCAR
D'ANGELO, FABIO
D'ANGELO, RENATA ADRIÃO
DANSA, SALMO
DANTAS, CRISTIANE
DANTAS, HELOYSA
DANTE, LUIS ROBERTO
DAOLIO, JOCIMAR
DARIDO, SURAYA CRISTINA
DAVIS, LEE
DEFOE, DANIEL
DEICHER, SUSANNE
D'ELIA, LUIZ FAUSTO
DELORS, JACQUES
DELPIROU, ALAIN
DEMARCHI, MARTA
DEMO, PEDRO
DESCHARNES, ROBERT
DEUS, JOÃO DE
DEVLIN, KEITH
DEWDNEY
D'HAESE, MÁRCIA M. 
DIAFÉRIA, LOURENÇO
DIAKITÉ, BABA WAGUÉ
DIALLO, MAMADOU
DIAS, CEZAR
DIAS, CHRISTINA
DIAS, FILHO
DIAS, GENEBALDO FREIRE 
DIAS, GONÇALVES
DIAS, GONÇLVES
DIAS, VERA LÚCIA
DIAS-BECK, SUZANA
DÍAZ, LUIS
DICKENS, CHARLES
DILL, LUÍS
DINIS, JÚLIO
DINIZ FILHO, AYMAR MACEDO
DINIZ, ANDRÉ
DINIZ, APARECIDA
DINIZ, EDINHA 
DINIZ, MARCELO
DINORAH, MARIA
DIOGO,ANDRÉ
DIOUF, SYLVIANE A .
D'ISRAEL, DAVY
DOINET, MYMI
D'OLIVEIRA, H. MAIA.
D'OLIVEIRA, MARIA DO CARMO
DOMINGOS, MARIO
DONATO, HERNÂNI
DONELL, PATRICK MC
DORIN, LANNOY
DORMANT, LA BELLE AU BOIS 
DOSTOIÉVSKI, FIÓDOR
DOYLE, CONAN
DOYLE, SIR ARTHUR CONAN
DREWNICK, RAUL
DROSTE, MAGDALENA
DRUMMOND, REGINA
DRUMMOND, ROBERTO
DRUON, MAURICE
DUARTE, MADALENA
DUARTE, MARCELO
DUARTE, MARIA AUXILIADORA MOREIRA
DUARTE, NEWTON
DUBREUCY, FRANCINE
DUCCA, W.L.
DUFTY, WILLIAM
DUMAS FILHO, ALEXANDRE 
DUMAS, ALEXANDRE
DUNBAR, JOYCE 
DUPRÉ, MARIA JOSÉ
DURÃO, JOSÉ DE STA.RITA
DURIER, FRANCK
DURKHEIM, EMILE
E, ESTERMANN
EBOLI, TEREZINHA
ECO, UMBERTO
EDNA, AOKI 
EDNIR, BEATRIZ C. M. 
EDNO, CICERO
EDUAR, GILLES
EHRET, ARNO
ELGER, DIETMAR
ELIAS, JOSÉ
ELZBIETA 
EMMERLING,  LEONHARD
ENDE, MICHAEL
ENZENSBERGER, HANS MAGNUS
ERLBRUCH, WOLF
ERNST, BRUNO
ESCHER, M.C.
ESMERALDO, VALÉRIA PORTO
ESOPO
ESPANCA, FLORBELA
ESPESCHIT, RITA
ESPÍ, PILAR
ÉSQUILO
ESTEVES, ROSA
EVA, FUNARI
ÉVANO, BRIGITTE
FABBRI, ANGELICA POLICENO
FAÉ, WALTER JOSÉ
FAIFI
FALCÃO, ADRIANA
FARACO, SERGIO
FARIA, ANA LÚCIA G. DE 
FARIA, ANTONIO AUGUSTO DA COSTA 
FARIA, EDMÉIA
FARIA, LIA CIOMAR MACEDO 
FARIA, RICARDO DE MOURA
FARIA, ROMILDO PÓVOA
FARIA, TALES
FARKAS, KIKO
FATURETO, MAIZA 
FÁVER, MARIA DE LOURDES ALBUQUERQUE
FÁVERO, OSMAR
FAZENDA, IVANI
FEITOSA, VERA CRISTINA
FELDMAN, CLÁUDIO
FELDMAN, THEA
FENTON, MARK
FERNANDES, ANTONIO CARLOS MACHADO
FERNANDES, ELÔ 
FERNANDES, MILLÔR
FERNANDES, ODILON
FERNANDES, ROSA
FERNANDEZ, LAETITIA
FERRARA, LUCRÉCIA D'ALÉSSIO
FERRARI, ALFONSO TRUJILLO
FERRARI, ELIZABETH ÁVILA 
FERRAZ, EUCANAÃ
FERRAZ, MARISA VIANNA
FERREIRA, HELENITA DE MORAES
FERREIRA, JEAN
FERREIRA, RAQUEL GONÇALVES
FERREIRA, SILVIA REGINA D. 
FERREIRO, EMILIA
FETH, MONIKA
FETZNER, ANDRÉA ROSANA FETZNER
FIALHO, DANIELA
FIDALGO, LÚCIA
FIELDING,HENRY
FIGUEIREDO, ALDRIN MOURA DE
FIGUEIREDO, PAULO 
FIGUEIREDO, TOMAZ DE
FILHO, ADONIAS
FILIZOLA, ROBERTO
FILLOUX, JEAN-CLAUDE
FILONOV,G.N.
FINE, ANNE
FISCHER, LUIS AUGUSTO
FISCHER, WOLFGANG GEORG
FITTIPALDI, CIÇA
FIZIOLA, ROBERTO
FLAUBERTE, GUSTAVE 
FLEISHMANN, LEZI JACQUES 
FLIEDL, GOTTFRIED
FLORA, ANNA
FLORENZANO, MARIA BEATRIZ
FONSECA JÚNIOR, FERNANDO MORAES
FONSECA, APARECIDA MARIA 
FONSECA, JUAREZ
FONSECA, LÚCIA LIMA DE 
FONSECA, MARIA DA CONCEIÇÃOF. R.
FONSECA, RUBEM
FONSECA, SELVA GUIMARÃES
FONTAINE, JEAN DE LA 
FONTANA, ROSELI 
FONTENELE, RAIMUNDO
FONTES, MIRIAM LOPES DA MOTA
FONTES, OFÉLIA E NARBAL
FOOT, NEWTON
FORJAZ, SONIA SALERNO
FORMAN, JOAN
FOUCAULT, MICHEL
FOX, MEM
FRABETTI, CARLO
FRANÇA, ELIARDO
FRANCE, MARY CAROLYN
FRANCHINI, A . S. 
FRANCO, MÁRCIA ELIZABETE WILKE
FRANCO, RENATO
FRANCO, SÉRGIO
FRANCO, SILVIA CINTRA
FRANTZ, LORI MARIA
FREIRE, FERNANDA MARIA PEREIRA
FREIRE, JOÃO BATISTA
FREIRE, NORMA
FREIRE, PAULO
FREITAS, LUIZ CARLOS DE
FREITAS, VALÉRIA
FRIEDMANN, ADRIANA
FRIES, CLAUDIA
FRITZEN, SILVINO JOSÉ
FRNCHI, EGLÊ PONTES 
FRNK, PENNY
FROMKIN, DAVID
FROMM, ERICH
FROTA-PESSOA, OSWLADO
FURINI, ISABEL
FURNARI, EVA 
FURTADO, JORGE
GAIMAN, NEIL
GAITE, CARMEN MARTIN
GAJARDO,MARCELA
GALASSI, NELLY ROCHA
GALDINO, JEFERSON PEREIRA 
GALDINO, LUIZ
GALEANO, EDUARDO
GALLARDO, JORGE SÉGIO PÉREZ
GALLO, SILVIO
GALLOTTI, A
GALVÃO, MARIA HELENA
GANDIN, DANILO
GANDIN, LUÍS ARMANDO
GANDINI, RAQUEL
GANEM, ELIANE
GANERI, ANITA 
GARCEZ, LUCÍLIA
GARCIA, EDSON GABRIEL
GARCIA, EUNICE 
GARCIA, FRANCISCO MARTINS
GARCIA, JOÃO
GARCIA, LEDONIAS FRANCO
GARCIA, OSÓRIO 
GARFIELD, PATRICIA
GARRETT, ALMEIDA
GASTALDI,MARIA VÍRGINIA
GATTAI, ZÉLIA
GEBARA, ADEMIR 
GEBARA, HELOÍSA
GEDOVIUS, JUAN
GEGAUF, STEFANIE WIRTH
GÊNOVA, CARLOS
GENTILI, PABLO A . 
GEORGEN, PEDRO
GERDES, PAULUS
GERMANO, ANA P. 
GHIRALDELLI JUNIOR , PAULO
GIANNOTTI, JOSÉ ARTHUR 
GIANSANTI, ROBERTO
GIBSON, MICHAEL
GIKOVATE, FLÁVIO
GINZBURG, CARLO
GIORDANO, HERCULE
GIOVANNI, ANTONIO CASTRO
GIROUX, HENRY A . 
GISSONI, RINALDO
GLICK, RUTH
GLIORI, DEBI 
GLÓRIA, CARME PERIS 
GLÓRIA, MARÍA RIUS
GLÓRIA, MARÍA RUIS 
GOBBI, SEBASTIÃO
GÖBEL, ANNA
GODINHO, MARILENE
GODOY LADEIRA, JULIETA DE
GODOY, JUAREZ
GÓES, LÚCIA PIMENTEL
GOETHE
GOFFMAN, ERVING
GOGOL, NICOLAI
GÓIS, MALU
GOLBERT, CLARISSA S.
GOLDSTEIN, SAM E MICHAEL
GOMES, ALEXANDRE DE CASTRO
GOMES, ÁLVARO CARDOSO
GOMES, ANTONIO CARLOS 
GOMES, CANDIDO ALBERTO
GOMES, CLARA ROSA CRUZ
GOMES, CLAYSON
GOMES, DIAS
GOMES, ELBA G.
GOMES, JAQUELINE
GOMES, NILMA LINO
GOMES, VICTOR MANUEL MENDONÇA COSTA
GOMES,ALEXANDRE DE CASTRO
GOMES,ÁLVARO CARDOSO
GOMES,LENICE
GONÇALVES, CLEONICE PEZZOLATO ABORIHAN
GONÇALVES, DILVANIR
GONÇALVES, REGINA GOUVEIA
GONICK, LARRY
GONSALES, FERNANDO
GONSALVES, SILVIA
GONTIJO, REBECA
GOODHART, PIPPA
GOODMAN, KEN
GOOL, VAN
GORDON, MARY
GOSCINNY, R. 
GOULART, MÁRIO
GOUVEIA, BETH
GOUVEIA, NELSON
GOWDAK, DEMÉTRIO 
GOWDAK, LUÍS HENRIQUE
GRAFTON
GRAHAME, KENNETH
GRANATO, FERNANDO
GRANATO, SUZANA FACCHINI 
GRANSTRÖM, BRITA
GRANT, NEIL
GRASSI, VALÉRIA
GRATIOT - ALFANDÉRY, HÉLÉNE
GREEN, CHRISTINE
GREENE, GRAHAM
GREGORIN FILHO, JOSÉ NICOLAU
GRIBEL, CHRISTIANE
GRILLO, LEILA MARIA
GRIM, JACOB
GRIMM, IRMÃOS
GRIMSHAW, CAROLINE
GRINBERG,KEILA
GRINBERG,LUCIA
GRISÓLIA, DULCY 
GROGAN, JOHN
GROSSI, ESTHER
GROWE, BERND
GRUDZIEN, HELIANA
GSLDINO, LUIOZ
GUARINELLO, NORBERTO
GUATTARI, FÉLIX
GUEDES, HARDY
GUELLI, OSCAR
GUIMARÃES, BERNARDO
GUIMARÃES, JOSUE
GUIMARÃES, RONALDO
GULLAR, FERREIRA
GUNESEKERA, ROMESH
GUSSI, ALCIDES FERNANDES
GUTIERREZ, LUIS GUSTAVO
HAESE, MÁRCIA MACEDO DA 
HALEY, GAIL
HALFMANN, JANET
HALPERN, ALFREDO
HAMELINE, DANIEL
HAMILTON, RICHARD
HAMMET, DASHIELL
HANHELA, TAPIO E.
HANSEN, JOÃO ADOLFO
