A. JÚNIOR, JAIME
TAYLOR, CHARLES
TAYLOR, LAURENCE
TAYLOR, SEAN
TCHECOV, ANTON
TEBALDI, WALDEMAR
TEBEROSKY, ANA
TEIXEIRA JR., LUIZ ALEXANDRE
TEIXEIRA, ANÍSIO
TEIXEIRA, MARIO
TEIXEIRA, MARTINS RODRIGUES
TEIXEIRA, NELSON CARLOS
TEIXEIRA, RINALDO SANTOS
TELES, ANTONIO XAVIER
TELES, JOÃO MAECELO DE MELO
TELLES, CARLOS QUEIROZ
TELLES, LYGIA FAGUNDES
TELLES, MARCELO DE QUEIROZ 
TERNI, FABIA
TERRA, ANA
TERSARIOL, SOLANGE FELETTO
TEUBER, SILVIA PESSÔA 
THARLET, EVE
THOENES, CHRISTOF
THOMAS, JERRY R. 
THOMPSON, COLIN
THOREAU,HENRY DAVID
THURLER, MONICA GARTHER
TICKLE, JACK
TILBURG, JOÃO LUIS VAN
TIMÓTEO, VANDERLEI
TOGNETTA, LUCIENE REGINA PAULINO
TOKITAKA, SÔNIA 
TOLEDO, JAMES MANN
TOLEDO, MARÍLIA BARROS DE ALMEIDA
TOLSTOI, LEON
TOLSTOY, LEO
TOMAZELLO, MARIA
TOMITA, RÚBIA YURI
TORELLY, APARÍCIO
TORERO, JOSÉ ROBERTO
TORGA, MIGUEL
TORNERO, NILTON
TOURINHO, LAFAYETTE
TOURNIER, MICHEL
TOZZI, DEVANIL 
TRAIN, ALAN
TRAJBER, RACHEL
TRAVAGLIA, LUIZ CARLOS
TRAVASOS, SONIA
TRELAWNAY, EDWARD JOHN
TREVISAN, DALTON
TREVISAN, GABRIELA SIMONETTI
TREVISAN, LAURO
TRIGGS, TONY D.
TRIGO, MÁRCIO
TRINDADE,KÁTIA
TRIPP, IRVING
TROTT, SUSAN
TROYES, CHRÉTIEN DE
TUBINO, MANOEL
TUCCILLE, JEROME
TUROW, SCOTT
TUTIKIAN, JANE
TWAIN, MARK
TZU, SUN 
UDERZO, A.
UHLMAN, FRED
ULMER, RENATE
UNGERER, TOMI
URBANET, MARIO
VACA, ALVAR NUNES CABEZA DE
VACCARINI, DANIELA
VALADARES, SOLANGE
VALE, MARIO
VALE, SÉRGIO
VALENTE, ANA LÚCIA
VANDEWIELE, AGNÈS
VARELLA, DRAUZIO
VASCO, IRENE
VASCONCELLOS, PAULO SÉRGIO DE
VASCONCELOS, EYMARD M. 
VASCONCELOS, JOSÉ MAURO DE
VASELLI, FRANCO
VASQUES, MARCIANO
VASSALLO, MARCIO
VAZ, FERNANDO
VEIGA, ILMA PASSOS ALENCASTRO
VEIGA, JOSÉ J.
VEIT, BARBARA
VENÂNCIO, RENATO PINTO
VENEZIA, MIKE
VENTURA , NANCY 
VENTURA, NANCY CARUSO
VERDE, CESÁRIO
VERGER, PIERRE
VERGES, ORIOL
VERISSIMO, ERICO
VERÍSSIMO, LUIS FERNANDO
VERNE, JÚLIO
VERNIER, JACQUES
VERSIANI, IVANA
VESENTINI, JOSÉ W.
VIANA, ARIEVALDO
VIANA, VIVINA DE ASSIS
VICENTE, GIL
VICENTE, ZÉ
VIEIRA, ALICE 
VIEIRA, ANA CAROLINA RODRIGUEZ
VIEIRA, ANA GIZELIA
VIEIRA, CELSO
VIEIRA, ISABEL
VIEIRA, REGINA
VIEIRA, SOFIA LERCHE
VIGATO, LÚCIA HELENA
VIGER, CÁSSIA
VIGOTSKI,LEV SEMENOVICH
VILELA, ANDRÉA 
VILELA, ANTÔNIO CARLOS
VILELA, FERNANDA
VILELA, FERNANDO
VILELA, LUIZ
VILLAÇA KOCK, INGEDORE
VILLAR, RODRIGO
VILLELA, BIA
VILLELE, ROSANE
VINCENT, BERNARD
VITA, ÁLVARO DE
VIZENTIN, CAROLINE RAUCH
VOLTAIRE
VON, CRISTINA 
VONNEGUT, KURT
VÓVIO, CLAUDIA LEMOS
VREDERI, ÉRICA
WAJNSZTEJN, ALESSANDRA CATURANI
WALDMAN 
WALLACE, IRVING
WALLON, HENRI
WALPOLE, BRENDA
WALTHER, INGO F.
WANDEWIELE, AGNÈS
WARNAU, GENEVIÉVE
WARNCKE, CARSTEN-PETER
WATERHOUSE, LYNDA
WEBER, SILKE
WEINBERG, GREGORIO
WEISS, MERY
WEISZ,TELAMA
WEITEMEIER,  HANNAH
WELLS, H. G.
WERNECK, HAMILTON
WESTBROOK, ROBERT B.
WHEELIS, MARK
WILDE, OSCAR
WILHELM, JACQUES
WILLIAMS, MARCIA
WILLIAMSON, KEVIN
WODESTI, JOÃO
WOJNAR, IRENA
WOLF, NORBERT
WONSOVICZ, SILVIO
WOOLF, VIRGINIA
WUENSCHE,CARLOS ALEXANDRE
WYSS,JOHANN
XAVIER, MARCELO
XAVIER, MARIA LUISA M. 
YÁÑEZ, ALBERTO
YENGO-SO, YU 
YEONG-SUN, KIM
YOUSSEF, MARIA DA PENHA BERTOLDI 
YUN-JEONG, CHOI
ZABALA, ANTONI
ZAGO, ANDERSON SARANZ
ZAMARIAN, MÁRIO
ZANETTI, MARIANA
ZATZ, LIA
ZATZ, SÍLVIA
ZAZZO, RENÉ
ZEN, MARIA ISABEL H. DALLA 
ZERBST, RAINER
ZIMET, BEM
ZIMRING,FED
ZINHO
ZIRALDO
ZOPPI, ANTÔNIO
ZORZI, JAIME LUIZ
ZOTZ, WERNER
ZUNINO, DELIA LERNER DE
ZWEIG, STEFAN
